,,,,,,"<Results of SALOME, time limit of 20 sec.>",,,"<Results of 10,000 runs of random search (with maximum load rule)>",,,,,<Graph structure measures>,,,,,,,,,,,<Times structure measures>,,,,,,,,,,,,,
332,5,instance_n=50_332p5,MIXED,0.2,peak in the middle,open (not known yet),"[24,25]",24,25,0,25,0.0989,<0.0001,>0.9999,0.195,1.12,5,0.806,0.676, 0.120 ,2,0,0,6.25,0.12,1000,23.208,0.167,0.764,0.11,,,,,,,,,
332,6,instance_n=50_332p6,MIXED,0.2,peak in the middle,extremely tricky,"[24,25]",24,25,0,26,0.3158,<0.0001,>0.9999,0.195,1.12,5,0.806,0.676, 0.120 ,2,0,0,6.25,0.12,1000,23.208,0.167,0.764,0.11,,,,,,,,,
332,7,instance_n=50_332p7,MIXED,0.2,peak in the middle,open (not known yet),"[24,25]",24,25,0,25,0.4672,<0.0001,>0.9999,0.195,1.12,5,0.806,0.676, 0.120 ,2,0,0,6.25,0.12,1000,23.208,0.167,0.764,0.11,,,,,,,,,
332,8,instance_n=50_332p8,MIXED,0.2,peak in the middle,open (not known yet),"[24,25]",24,25,0,25,0.5901,<0.0001,>0.9999,0.195,1.12,5,0.806,0.676, 0.120 ,2,0,0,6.25,0.12,1000,23.208,0.167,0.764,0.11,,,,,,,,,
332,9,instance_n=50_332p9,MIXED,0.2,peak in the middle,open (not known yet),"[24,25]",24,25,0,25,0.5426,<0.0001,>0.9999,0.195,1.12,5,0.806,0.676, 0.120 ,2,0,0,6.25,0.12,1000,23.208,0.167,0.764,0.11,,,,,,,,,
332,10,instance_n=50_332p10,MIXED,0.2,peak in the middle,open (not known yet),"[24,25]",24,25,0,25,0.1639,<0.0001,>0.9999,0.195,1.12,5,0.806,0.676, 0.120 ,2,0,0,6.25,0.12,1000,23.208,0.167,0.764,0.11,,,,,,,,,
333,1,instance_n=50_333,MIXED,0.2,peak in the middle,tricky,28,28,28,1,28, 0.379 ,0.3786,0.6214,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,2,instance_n=50_333p2,MIXED,0.2,peak in the middle,extremely tricky,28,28,28,0,29,0.422,<0.0001,>0.9999,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,3,instance_n=50_333p3,MIXED,0.2,peak in the middle,extremely tricky,28,28,28,0,29,0.2467,<0.0001,>0.9999,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,4,instance_n=50_333p4,MIXED,0.2,peak in the middle,tricky,28,28,28,1,28,0.2518,0.2518,0.7482,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,5,instance_n=50_333p5,MIXED,0.2,peak in the middle,extremely tricky,28,28,28,0,29,0.334,<0.0001,>0.9999,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,6,instance_n=50_333p6,MIXED,0.2,peak in the middle,extremely tricky,28,28,28,0,29,0.2407,<0.0001,>0.9999,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,7,instance_n=50_333p7,MIXED,0.2,peak in the middle,tricky,28,28,28,1,28,0.4429,0.4429,0.5571,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,8,instance_n=50_333p8,MIXED,0.2,peak in the middle,tricky,28,28,28,1,28,0.4236,0.4236,0.5764,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,9,instance_n=50_333p9,MIXED,0.2,peak in the middle,very tricky,28,28,28,1,28,0.0201,0.0201,0.9799,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
333,10,instance_n=50_333p10,MIXED,0.2,peak in the middle,tricky,28,28,28,1,28,0.4448,0.4448,0.5552,0.196,1.14,5,0.806,0.685, 0.080 ,2,0,0,6.25,0.1,1000,24.943,0.303,0.707,0.105,,,,,,,,,
334,1,instance_n=50_334,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29, 0.342 ,0.3418,0.6582,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,2,instance_n=50_334p2,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.3023,0.3023,0.6977,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,3,instance_n=50_334p3,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.4629,0.4629,0.5371,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,4,instance_n=50_334p4,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.3538,0.3538,0.6462,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,5,instance_n=50_334p5,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.2788,0.2788,0.7212,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,6,instance_n=50_334p6,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.0613,0.0613,0.9387,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,7,instance_n=50_334p7,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.3716,0.3716,0.6284,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,8,instance_n=50_334p8,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.3967,0.3967,0.6033,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,9,instance_n=50_334p9,MIXED,0.2,peak in the middle,extremely tricky,29,29,29,0,30,0.1995,<0.0001,>0.9999,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
334,10,instance_n=50_334p10,MIXED,0.2,peak in the middle,tricky,29,29,29,1,29,0.3162,0.3162,0.6838,0.199,0.96,6,0.943,0.714, 0.320 ,2.286,0,0,6.25,0.1,1000,24.736,0.214,0.711,0.103,,,,,,,,,
335,1,instance_n=50_335,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29, 0.346 ,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,2,instance_n=50_335p2,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.0345,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,3,instance_n=50_335p3,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.4115,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,4,instance_n=50_335p4,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.3644,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,5,instance_n=50_335p5,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.3867,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,6,instance_n=50_335p6,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.2769,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,7,instance_n=50_335p7,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.2818,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,8,instance_n=50_335p8,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.3643,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,9,instance_n=50_335p9,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.2647,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
335,10,instance_n=50_335p10,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.213,<0.0001,>0.9999,0.198,1.08,6,0.833,0.694, 0.360 ,2,0,0,6.25,0.12,1000,25.098,0.23,0.789,0.126,,,,,,,,,
336,1,instance_n=50_336,MIXED,0.2,peak in the middle,extremely tricky,"[25,26]",25,26,0,28, 0.273 ,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,2,instance_n=50_336p2,MIXED,0.2,peak in the middle,open (not known yet),"[25,27]",25,27,0,27,0.4256,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,3,instance_n=50_336p3,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,28,0.3265,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,4,instance_n=50_336p4,MIXED,0.2,peak in the middle,extremely tricky,"[25,26]",25,26,0,27,0.4355,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,5,instance_n=50_336p5,MIXED,0.2,peak in the middle,extremely tricky,"[25,26]",25,26,0,28,0.289,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,6,instance_n=50_336p6,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,28,0.3732,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,7,instance_n=50_336p7,MIXED,0.2,peak in the middle,extremely tricky,"[25,27]",25,27,0,28,0.4626,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,8,instance_n=50_336p8,MIXED,0.2,peak in the middle,extremely tricky,"[25,27]",25,27,0,28,0.1777,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,9,instance_n=50_336p9,MIXED,0.2,peak in the middle,extremely tricky,"[25,27]",25,27,0,28,0.2949,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
336,10,instance_n=50_336p10,MIXED,0.2,peak in the middle,extremely tricky,"[25,27]",25,27,0,28,0.4041,<0.0001,>0.9999,0.2,0.98,5,0.893,0.735, 0.320 ,2,0,0,6.25,0.14,1000,24.442,0.175,0.812,0.129,,,,,,,,,
337,1,instance_n=50_337,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,28, 0.088 ,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,2,instance_n=50_337p2,MIXED,0.2,peak in the middle,open (not known yet),"[26,27]",26,27,0,27,0.1425,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,3,instance_n=50_337p3,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,27,0.202,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,4,instance_n=50_337p4,MIXED,0.2,peak in the middle,open (not known yet),"[26,27]",26,27,0,27,0.2705,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,5,instance_n=50_337p5,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,27,0.4417,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,6,instance_n=50_337p6,MIXED,0.2,peak in the middle,open (not known yet),"[26,27]",26,27,0,27,0.2466,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,7,instance_n=50_337p7,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,27,0.0306,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,8,instance_n=50_337p8,MIXED,0.2,peak in the middle,open (not known yet),"[26,27]",26,27,0,27,0.0379,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,9,instance_n=50_337p9,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,28,0.3406,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
337,10,instance_n=50_337p10,MIXED,0.2,peak in the middle,open (not known yet),"[26,27]",26,27,0,27,0.3154,<0.0001,>0.9999,0.199,1.06,6,0.806,0.694, 0.040 ,2,0,0,6.25,0.18,1000,24.673,0.269,0.933,0.118,,,,,,,,,
338,1,instance_n=50_338,MIXED,0.2,peak in the middle,extremely tricky,"[26,27]",26,27,0,29, 0.421 ,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,2,instance_n=50_338p2,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,28,0.3014,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,3,instance_n=50_338p3,MIXED,0.2,peak in the middle,extremely tricky,"[26,27]",26,27,0,28,0.0133,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,4,instance_n=50_338p4,MIXED,0.2,peak in the middle,extremely tricky,"[26,27]",26,27,0,29,0.1361,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,5,instance_n=50_338p5,MIXED,0.2,peak in the middle,extremely tricky,"[26,27]",26,27,0,28,0.2098,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,6,instance_n=50_338p6,MIXED,0.2,peak in the middle,extremely tricky,26,26,26,0,27,0.3459,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,7,instance_n=50_338p7,MIXED,0.2,peak in the middle,open (not known yet),"[26,28]",26,28,0,28,0.0026,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,8,instance_n=50_338p8,MIXED,0.2,peak in the middle,open (not known yet),"[26,28]",26,28,0,28,0.0089,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,9,instance_n=50_338p9,MIXED,0.2,peak in the middle,extremely tricky,"[26,27]",26,27,0,28,0.3884,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
338,10,instance_n=50_338p10,MIXED,0.2,peak in the middle,extremely tricky,"[26,27]",26,27,0,29,0.2794,<0.0001,>0.9999,0.199,1.16,5,0.806,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.841,0.288,0.752,0.107,,,,,,,,,
339,1,instance_n=50_339,MIXED,0.2,peak in the middle,open (not known yet),"[27,28]",27,28,0,28, 0.119 ,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,2,instance_n=50_339p2,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.443,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,3,instance_n=50_339p3,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.3659,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,4,instance_n=50_339p4,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.4576,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,5,instance_n=50_339p5,MIXED,0.2,peak in the middle,open (not known yet),"[27,28]",27,28,0,28,0.3584,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,6,instance_n=50_339p6,MIXED,0.2,peak in the middle,open (not known yet),"[27,28]",27,28,0,28,0.3869,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,7,instance_n=50_339p7,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.384,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,8,instance_n=50_339p8,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.1441,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,9,instance_n=50_339p9,MIXED,0.2,peak in the middle,tricky,27,27,27,1,27,0.3769,0.3769,0.6231,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
339,10,instance_n=50_339p10,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.2365,<0.0001,>0.9999,0.197,1.02,5,0.909,0.746, 0.360 ,3,0,0,6.25,0.08,1000,25.129,0.281,0.847,0.14,,,,,,,,,
340,1,instance_n=50_340,MIXED,0.2,peak in the middle,open (not known yet),"[27,29]",27,29,0,29, 0.303 ,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,2,instance_n=50_340p2,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.1325,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,3,instance_n=50_340p3,MIXED,0.2,peak in the middle,open (not known yet),"[27,29]",27,29,0,29,0.2105,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,4,instance_n=50_340p4,MIXED,0.2,peak in the middle,open (not known yet),"[27,29]",27,29,0,29,0.4355,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,5,instance_n=50_340p5,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.2868,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,6,instance_n=50_340p6,MIXED,0.2,peak in the middle,open (not known yet),"[27,29]",27,29,0,29,0.4809,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,7,instance_n=50_340p7,MIXED,0.2,peak in the middle,extremely tricky,28,28,28,0,29,0.4789,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,8,instance_n=50_340p8,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.4124,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,9,instance_n=50_340p9,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.4488,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
340,10,instance_n=50_340p10,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.429,<0.0001,>0.9999,0.196,1.18,6,0.735,0.641, 0.100 ,2.5,0,0,6.25,0.18,1000,24.955,0.191,0.794,0.123,,,,,,,,,
341,1,instance_n=50_341,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28, 0.316 ,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,2,instance_n=50_341p2,MIXED,0.2,peak in the middle,open (not known yet),"[27,28]",27,28,0,28,0.3876,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,3,instance_n=50_341p3,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.3125,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,4,instance_n=50_341p4,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.3673,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,5,instance_n=50_341p5,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.2089,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,6,instance_n=50_341p6,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.2863,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,7,instance_n=50_341p7,MIXED,0.2,peak in the middle,very tricky,28,28,28,1,28,0.0384,0.0384,0.9616,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,8,instance_n=50_341p8,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.4121,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,9,instance_n=50_341p9,MIXED,0.2,peak in the middle,open (not known yet),"[27,28]",27,28,0,28,0.3835,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
341,10,instance_n=50_341p10,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,28,0.2936,<0.0001,>0.9999,0.196,1.08,6,0.862,0.676, 0.180 ,2.25,0,0,6.25,0.08,1000,24.675,0.283,0.771,0.119,,,,,,,,,
342,1,instance_n=50_342,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,30, 0.103 ,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
342,2,instance_n=50_342p2,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.3979,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
342,3,instance_n=50_342p3,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.3616,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
342,4,instance_n=50_342p4,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.4116,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
342,5,instance_n=50_342p5,MIXED,0.2,peak in the middle,extremely tricky,"[27,28]",27,28,0,29,0.2254,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
342,6,instance_n=50_342p6,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.0656,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
342,7,instance_n=50_342p7,MIXED,0.2,peak in the middle,extremely tricky,27,27,27,0,29,0.2398,<0.0001,>0.9999,0.199,1.16,5,0.769,0.714, 0.100 ,2.5,0.02,5,6.25,0.14,1000,25.237,0.246,0.8,0.11,,,,,,,,,
